url,Rollercoaster,Amusement.Park,Rating,Roller.Coaster.Design,material_type,seating_type,speed.x,height.x,length.x,num_inversions,manufacturer,status.x,score,launch,restraint
swamp-fox-family-kingdom-amusement-park,Swamp Fox,Family Kingdom Amusement Park,7.0 (Good),John Allen Wooden Coaster,Wooden,Sit Down,80,22,805,0,Philadelphia Toboggan Coaster,status.operating,56.6,"
                                  Chain lift hill
                                                ",Common lap bar
blue-streak-conneaut-lake-park,Blue Streak,Conneaut Lake Park,7.0 (Good),Ed Vettel Wooden Coaster,Wooden,Sit Down,64,24,780,0,Philadelphia Toboggan Coaster,status.operating,50,"
                                  Chain lift hill
                                                ",Common lap bar
batwing-six-flags-america,Batwing,Six Flags America,7.5 (Good),Vekoma Flying Coaster,Steel,Flying,81,35,1018,5,Vekoma,status.operating,67,"
                                  Chain lift hill
                                                ",Flying restraint
tatsu-six-flags-magic-mountain,Tatsu,Six Flags Magic Mountain,9.0 (Excellent),B&M Flying Coaster,Steel,Flying,100,52,1097,4,B&M,status.operating,94,"
                                  Chain lift hill
                                                ",Flying restraint
great-american-scream-machine-six-flags-over-georgia,Great American Scream Machine,Six Flags Over Georgia,5.0 (Average),"Rosser, Allen, & Cobb Wooden Coaster",Steel,Sit Down,109,53,1158,7,Arrow,status.closed.definitely,35.7,"
                                  Chain lift hill
                                                ",Lap bar
screamin-eagle-six-flags-st-louis,Screamin' Eagle,Six Flags St. Louis,7.5 (Good),Wooden Coaster,Wooden,Sit Down,100,34,1180,0,Philadelphia Toboggan Coaster,status.operating,52.2,"
                                  Chain lift hill
                                                ",Lap bar
beast-kings-island,Beast,Kings Island,10 (Superior),Wooden Terrain Coaster,Wooden,Sit Down,104,34,2243,0,Charlie Dinn,status.operating,82.6,"
                                  Chain lift hill
                                                ",Lap bar
phoenix-knoebels,Phoenix,Knoebels,9.0 (Excellent),Wooden Coaster,Wooden,Sit Down,72,24,975,0,Philadelphia Toboggan Coaster,status.operating,94.2,"
                                  Chain lift hill
                                                ",Lap bar
predator-darien-lake,Predator,Darien Lake,2.0 (Horrible),Curtis Summers Wooden Coaster,Wooden,Sit Down,80,29,1036,0,Dinn Corp.,status.operating,30.5,"
                                  Chain lift hill
                                                ",Lap bar
mean-streak-cedar-point,Mean Streak,Cedar Point,5.0 (Average),Curtis Summers Wooden Coaster,Wooden,Sit Down,100,49,1654,0,Dinn Corp.,status.retracked,30.9,"
                                  Chain lift hill
                                                ",Lap bar
